"Timestamp","FromCurrency","ToCurrency","ConversionRate"
"2025-05-04T08:13:45","BTC","ETH","52.33"
"2025-05-04T08:13:45","BTC","SOL","655.83"
"2025-05-04T08:13:45","BTC","XRP","43616.52"
"2025-05-04T08:13:45","BTC","DOGE","544582.91"
"2025-05-04T08:13:45","BTC","ADA","136066.83"
"2025-05-04T08:13:45","BTC","LTC","1112.18"
"2025-05-04T08:13:45","BTC","DOT","23902.85"
"2025-05-04T08:13:46","ETH","BTC","0.01911"
"2025-05-04T08:13:46","ETH","SOL","12.53"
"2025-05-04T08:13:46","ETH","XRP","833.53"
"2025-05-04T08:13:46","ETH","DOGE","10407.17"
"2025-05-04T08:13:46","ETH","ADA","2600.28"
"2025-05-04T08:13:46","ETH","LTC","21.25"
"2025-05-04T08:13:46","ETH","DOT","456.79"
"2025-05-04T08:13:47","SOL","BTC","0.001525"
"2025-05-04T08:13:47","SOL","ETH","0.07979"
"2025-05-04T08:13:47","SOL","XRP","66.51"
"2025-05-04T08:13:47","SOL","DOGE","830.38"
"2025-05-04T08:13:47","SOL","ADA","207.47"
"2025-05-04T08:13:47","SOL","LTC","1.696"
"2025-05-04T08:13:47","SOL","DOT","36.45"
"2025-05-04T08:13:48","XRP","BTC","0.00002293"
"2025-05-04T08:13:48","XRP","ETH","0.0012"
"2025-05-04T08:13:48","XRP","SOL","0.01504"
"2025-05-04T08:13:48","XRP","DOGE","12.49"
"2025-05-04T08:13:48","XRP","ADA","3.12"
"2025-05-04T08:13:48","XRP","LTC","0.0255"
"2025-05-04T08:13:48","XRP","DOT","0.548"
"2025-05-04T08:13:49","DOGE","BTC","0.00000184"
"2025-05-04T08:13:49","DOGE","ETH","0.00009609"
"2025-05-04T08:13:49","DOGE","SOL","0.001204"
"2025-05-04T08:13:49","DOGE","XRP","0.08009"
"2025-05-04T08:13:49","DOGE","ADA","0.2499"
"2025-05-04T08:13:49","DOGE","LTC","0.002042"
"2025-05-04T08:13:49","DOGE","DOT","0.04389"
"2025-05-04T08:13:50","ADA","BTC","0.00000735"
"2025-05-04T08:13:50","ADA","ETH","0.0003846"
"2025-05-04T08:13:50","ADA","SOL","0.00482"
"2025-05-04T08:13:50","ADA","XRP","0.3206"
"2025-05-04T08:13:50","ADA","DOGE","4.002"
"2025-05-04T08:13:50","ADA","LTC","0.008174"
"2025-05-04T08:13:50","ADA","DOT","0.1757"
"2025-05-04T08:13:52","LTC","BTC","0.0008994"
"2025-05-04T08:13:52","LTC","ETH","0.04707"
"2025-05-04T08:13:52","LTC","SOL","0.5899"
"2025-05-04T08:13:52","LTC","XRP","39.23"
"2025-05-04T08:13:52","LTC","DOGE","489.85"
"2025-05-04T08:13:52","LTC","ADA","122.39"
"2025-05-04T08:13:52","LTC","DOT","21.5"
"2025-05-04T08:13:53","DOT","BTC","0.00004183"
"2025-05-04T08:13:53","DOT","ETH","0.002189"
"2025-05-04T08:13:53","DOT","SOL","0.02744"
"2025-05-04T08:13:53","DOT","XRP","1.824"
"2025-05-04T08:13:53","DOT","DOGE","22.78"
"2025-05-04T08:13:53","DOT","ADA","5.692"
"2025-05-04T08:13:53","DOT","LTC","0.04651"
